Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:18,0.000s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:18,0.001s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:18,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-012,Edge Chromium 117,User ingin mengurutkan harga Konsumen product dari yang Terbesar sampai Terkecil,,2023-10-06 09:58:18,2023-10-06 09:58:42,24.089s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-011""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:41,22.871s,PASSED
"click(findTestObject(""Product Admin/Button Sort Konsumen""))",Edge Chromium 117,,,2023-10-06 09:58:41,2023-10-06 09:58:42,0.380s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data harga Konsumen""), 10)",Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.415s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.101s,PASSED
"Arrays.sort(arrProdukNameSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.001s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:58:42,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-013,Edge Chromium 117,User ingin mengurutkan Stok product dari yang Terkecil sampai Terbesar,,2023-10-06 09:58:42,2023-10-06 09:59:05,22.680s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:58:42,2023-10-06 09:59:04,21.437s,PASSED
"click(findTestObject(""Product Admin/Button Sort Stok""))",Edge Chromium 117,,,2023-10-06 09:59:04,2023-10-06 09:59:04,0.362s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Jumlah Stok""), 10)",Edge Chromium 117,,,2023-10-06 09:59:04,2023-10-06 09:59:05,0.543s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:05,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:05,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:05,0.099s,PASSED
Arrays.sort(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:05,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:05,0.001s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:05,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:05,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-014,Edge Chromium 117,User ingin mengurutkan Stok product dari yang Terbesar sampai Terkecil,,2023-10-06 09:59:05,2023-10-06 09:59:28,23.662s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-013""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:59:05,2023-10-06 09:59:27,22.493s,PASSED
"click(findTestObject(""Product Admin/Button Sort Stok""))",Edge Chromium 117,,,2023-10-06 09:59:27,2023-10-06 09:59:28,0.387s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Jumlah Stok""), 10)",Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.450s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.000s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.001s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.096s,PASSED
"Arrays.sort(arrProdukNameSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.001s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:59:28,2023-10-06 09:59:28,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-015,Edge Chromium 117,User ingin mengurutkan Satuan product dari Nama awalan Z sampai A,,2023-10-06 09:59:28,2023-10-06 09:59:51,22.981s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:59:29,2023-10-06 09:59:50,21.809s,PASSED
"click(findTestObject(""Product Admin/Button Sort Satuan""))",Edge Chromium 117,,,2023-10-06 09:59:50,2023-10-06 09:59:51,0.383s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Jenis Satuan""), 10)",Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.450s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.110s,PASSED
Arrays.sort(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.000s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.001s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:59:51,2023-10-06 09:59:51,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-016,Edge Chromium 117,User ingin mengurutkan Satuan product dari Nama awalan A sampai Z,,2023-10-06 09:59:51,2023-10-06 10:00:15,23.516s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-015""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:59:52,2023-10-06 10:00:14,22.355s,PASSED
"click(findTestObject(""Product Admin/Button Sort Satuan""))",Edge Chromium 117,,,2023-10-06 10:00:14,2023-10-06 10:00:14,0.374s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Jenis Satuan""), 10)",Edge Chromium 117,,,2023-10-06 10:00:14,2023-10-06 10:00:15,0.422s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:15,0.000s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:15,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:15,0.104s,PASSED
